,sector,region,scenario,Year,value
168,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,12.373867759805911
169,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,9.165066718312003
170,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,87.03638656916935
171,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,86.64298953842604
172,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,86.87181857800634
173,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,70.1796314356974
174,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,60.2318448903072
175,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,51.786986634063645
176,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,47.12183896391052
177,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,41.32154348547065
178,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,32.79110517882302
179,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,26.121147843211432
180,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,20.47563702909928
181,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,15.345228184274015
182,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,10.203281746541503
183,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,5.451553393385119
184,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,2.8995114958440857
185,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.4971803240957857
186,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,0.7370610711772976
187,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,0.34463968145484936
188,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,0.15060703012616364
189,building,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.06912239401248771
190,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,2062.1509701607647
191,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,2350.565529807089
192,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,2816.1615971948595
193,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,2954.211195543288
194,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,2153.6903346738527
195,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,2072.625506386156
196,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,2026.9503688104967
197,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,1997.0625915475498
198,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,1967.7042593605718
199,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,1833.9941112197018
200,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,1656.7164058600981
201,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,1434.0309040462519
202,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,1190.8602807085178
203,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,994.0508080002921
204,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,825.8401615009274
205,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,659.849980259051
206,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,495.7625509911189
207,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,343.7712394987378
208,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,209.18160580033992
209,building,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,110.43144520529741
210,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,475.6342652696412
211,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,594.3772374847018
212,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,618.5895940840082
213,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,672.0412381214322
214,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,576.2666361658565
215,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,533.6888656961413
216,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,479.6265093279762
217,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,409.09764860207406
218,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,331.10049438755897
219,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,265.64215103871726
