,Year,region,mode,technology,value
729,2045,USA,rail,Electric,0.0560384
730,2045,USA,rail,FCEV,0.0943533
733,2045,USA,road,BEV,2.2228536056999997
734,2045,USA,road,FCEV,0.748635301
738,2045,USA,shipping,BEV,0.0032181719999999996
739,2045,USA,shipping,FCEV,0.0051084500000000005
742,2050,Australia_NZ,aviation,BEV,0.006074141399999999
745,2050,Australia_NZ,rail,BEV,0.00777396
746,2050,Australia_NZ,rail,Electric,0.025189003
747,2050,Australia_NZ,rail,FCEV,0.0103151
750,2050,Australia_NZ,road,BEV,0.198581913923
751,2050,Australia_NZ,road,FCEV,0.1105079897
755,2050,Australia_NZ,shipping,BEV,0.0009848367
756,2050,Australia_NZ,shipping,FCEV,0.0007451129999999999
759,2050,Canada,aviation,BEV,0.00687975441
762,2050,Canada,rail,BEV,0.0159175
763,2050,Canada,rail,Electric,0.0051972419999999995
764,2050,Canada,rail,FCEV,0.0207151
767,2050,Canada,road,BEV,0.24510064084
768,2050,Canada,road,FCEV,0.1118712815
772,2050,Canada,shipping,BEV,0.00103392108
773,2050,Canada,shipping,FCEV,0.0007284476
776,2050,EU-15,aviation,BEV,0.0372583689
779,2050,EU-15,rail,BEV,0.0129225
780,2050,EU-15,rail,Electric,0.2049484
781,2050,EU-15,rail,FCEV,0.0215319
784,2050,EU-15,road,BEV,1.024478443395
785,2050,EU-15,road,FCEV,0.5655259274757
789,2050,EU-15,shipping,BEV,0.004659293
790,2050,EU-15,shipping,FCEV,0.016327770000000002
793,2050,European Free Trade Association,aviation,BEV,0.0023681643
796,2050,European Free Trade Association,rail,BEV,0.000964912
797,2050,European Free Trade Association,rail,Electric,0.01692195
798,2050,European Free Trade Association,rail,FCEV,0.00160276
801,2050,European Free Trade Association,road,BEV,0.0386326647374
802,2050,European Free Trade Association,road,FCEV,0.02116722845
806,2050,European Free Trade Association,shipping,BEV,0.00107499618
807,2050,European Free Trade Association,shipping,FCEV,0.0007374577000000001
810,2050,Russia,aviation,BEV,0.0199744719
813,2050,Russia,rail,BEV,0.0774878
814,2050,Russia,rail,Electric,0.21093963999999998
815,2050,Russia,rail,FCEV,0.090458
818,2050,Russia,road,BEV,0.34172452575
819,2050,Russia,road,FCEV,0.1148015344
823,2050,Russia,shipping,BEV,0.00148543
824,2050,Russia,shipping,FCEV,0.011227862
827,2050,South Korea,aviation,BEV,0.00846745927
830,2050,South Korea,rail,BEV,0.000863173
831,2050,South Korea,rail,Electric,0.00779611
832,2050,South Korea,rail,FCEV,0.00149101
835,2050,South Korea,road,BEV,0.1316484189
836,2050,South Korea,road,FCEV,0.0421546565
840,2050,South Korea,shipping,BEV,0.00046120000000000004
841,2050,South Korea,shipping,FCEV,0.00278314
844,2050,USA,aviation,BEV,0.0992429499
847,2050,USA,rail,BEV,0.07792
848,2050,USA,rail,Electric,0.0618287
849,2050,USA,rail,FCEV,0.097928
852,2050,USA,road,BEV,2.392407548
853,2050,USA,road,FCEV,0.9245476499999999
857,2050,USA,shipping,BEV,0.007189404
858,2050,USA,shipping,FCEV,0.01405817
861,2055,Australia_NZ,aviation,BEV,0.0112659686
864,2055,Australia_NZ,rail,BEV,0.00826232
865,2055,Australia_NZ,rail,Electric,0.026255928
866,2055,Australia_NZ,rail,FCEV,0.0109635
869,2055,Australia_NZ,road,BEV,0.21157826005
870,2055,Australia_NZ,road,FCEV,0.12528692930000002
874,2055,Australia_NZ,shipping,BEV,0.0017113085
875,2055,Australia_NZ,shipping,FCEV,0.001292222
878,2055,Canada,aviation,BEV,0.01293569029
881,2055,Canada,rail,BEV,0.0167938
882,2055,Canada,rail,Electric,0.005415079
883,2055,Canada,rail,FCEV,0.021821
886,2055,Canada,road,BEV,0.25325826192
887,2055,Canada,road,FCEV,0.12705811919999999
891,2055,Canada,shipping,BEV,0.0018571104999999999
892,2055,Canada,shipping,FCEV,0.00124271
895,2055,EU-15,aviation,BEV,0.06819114899999999
898,2055,EU-15,rail,BEV,0.0135889
899,2055,EU-15,rail,Electric,0.2101608
900,2055,EU-15,rail,FCEV,0.0226496
903,2055,EU-15,road,BEV,1.032958498683
904,2055,EU-15,road,FCEV,0.6287669932909
908,2055,EU-15,shipping,BEV,0.00804061
909,2055,EU-15,shipping,FCEV,0.0283554
912,2055,European Free Trade Association,aviation,BEV,0.0043835442
915,2055,European Free Trade Association,rail,BEV,0.00102805
916,2055,European Free Trade Association,rail,Electric,0.01743909
917,2055,European Free Trade Association,rail,FCEV,0.00170987
920,2055,European Free Trade Association,road,BEV,0.039237452947
921,2055,European Free Trade Association,road,FCEV,0.0237187194
925,2055,European Free Trade Association,shipping,BEV,0.00190328055
926,2055,European Free Trade Association,shipping,FCEV,0.0013510829
929,2055,Russia,aviation,BEV,0.03632224
932,2055,Russia,rail,BEV,0.0812105
933,2055,Russia,rail,Electric,0.21581953999999998
934,2055,Russia,rail,FCEV,0.095086
937,2055,Russia,road,BEV,0.35249664789999996
938,2055,Russia,road,FCEV,0.129754386
942,2055,Russia,shipping,BEV,0.002514462
943,2055,Russia,shipping,FCEV,0.01955434
946,2055,South Korea,aviation,BEV,0.01469391321
949,2055,South Korea,rail,BEV,0.000895505
950,2055,South Korea,rail,Electric,0.00766492
951,2055,South Korea,rail,FCEV,0.00154948
954,2055,South Korea,road,BEV,0.1280532211
955,2055,South Korea,road,FCEV,0.045432462
959,2055,South Korea,shipping,BEV,0.000774328
960,2055,South Korea,shipping,FCEV,0.004763613
963,2055,USA,aviation,BEV,0.178473548
966,2055,USA,rail,BEV,0.0808124
967,2055,USA,rail,Electric,0.0667603
968,2055,USA,rail,FCEV,0.101583
971,2055,USA,road,BEV,2.4666558189999996
972,2055,USA,road,FCEV,1.0444750699999998
976,2055,USA,shipping,BEV,0.01250536
977,2055,USA,shipping,FCEV,0.02391585
980,2060,Australia_NZ,aviation,BEV,0.0191441825
983,2060,Australia_NZ,rail,BEV,0.00880499
984,2060,Australia_NZ,rail,Electric,0.027280076
985,2060,Australia_NZ,rail,FCEV,0.0117006
988,2060,Australia_NZ,road,BEV,0.22235939670000002
989,2060,Australia_NZ,road,FCEV,0.1373357495
993,2060,Australia_NZ,shipping,BEV,0.0023787399000000002
994,2060,Australia_NZ,shipping,FCEV,0.001888675
997,2060,Canada,aviation,BEV,0.0224947275
1000,2060,Canada,rail,BEV,0.0178036
1001,2060,Canada,rail,Electric,0.005633895
1002,2060,Canada,rail,FCEV,0.0231632
1005,2060,Canada,road,BEV,0.2611143736
1006,2060,Canada,road,FCEV,0.1391026343
1010,2060,Canada,shipping,BEV,0.0027066862
1011,2060,Canada,shipping,FCEV,0.0018711589999999998
1014,2060,EU-15,aviation,BEV,0.113808043
1017,2060,EU-15,rail,BEV,0.0143278
1018,2060,EU-15,rail,Electric,0.215141
1019,2060,EU-15,rail,FCEV,0.0238826
1022,2060,EU-15,road,BEV,1.041825222197
1023,2060,EU-15,road,FCEV,0.6758819615234999
1027,2060,EU-15,shipping,BEV,0.01095927
1028,2060,EU-15,shipping,FCEV,0.038362480000000004
1031,2060,European Free Trade Association,aviation,BEV,0.0073426103999999996
1034,2060,European Free Trade Association,rail,BEV,0.00109444
1035,2060,European Free Trade Association,rail,Electric,0.01791856
1036,2060,European Free Trade Association,rail,FCEV,0.00182052
1039,2060,European Free Trade Association,road,BEV,0.0398304968
1040,2060,European Free Trade Association,road,FCEV,0.0256642661
1044,2060,European Free Trade Association,shipping,BEV,0.0026341608700000004
1045,2060,European Free Trade Association,shipping,FCEV,0.001869004
1048,2060,Russia,aviation,BEV,0.059089602399999996
1051,2060,Russia,rail,BEV,0.085508
1052,2060,Russia,rail,Electric,0.22142735
1053,2060,Russia,rail,FCEV,0.100352
1056,2060,Russia,road,BEV,0.36086744500000006
1057,2060,Russia,road,FCEV,0.140615337
1061,2060,Russia,shipping,BEV,0.00326872
1062,2060,Russia,shipping,FCEV,0.02580133
1065,2060,South Korea,aviation,BEV,0.02299604273
1068,2060,South Korea,rail,BEV,0.000919449
1069,2060,South Korea,rail,Electric,0.0074645200000000005
1070,2060,South Korea,rail,FCEV,0.00159337
1073,2060,South Korea,road,BEV,0.12391546199999999
1074,2060,South Korea,road,FCEV,0.046999379
1078,2060,South Korea,shipping,BEV,0.001007766
1079,2060,South Korea,shipping,FCEV,0.006292837
1082,2060,USA,aviation,BEV,0.295887717
1085,2060,USA,rail,BEV,0.0842327
1086,2060,USA,rail,Electric,0.0720937
1087,2060,USA,rail,FCEV,0.106279
1090,2060,USA,road,BEV,2.5250917499999996
1091,2060,USA,road,FCEV,1.13608046
1095,2060,USA,shipping,BEV,0.017542000000000002
1096,2060,USA,shipping,FCEV,0.03438943
1099,2065,Australia_NZ,aviation,BEV,0.028641450000000002
1102,2065,Australia_NZ,rail,BEV,0.00937963
1103,2065,Australia_NZ,rail,Electric,0.028188835000000002
1104,2065,Australia_NZ,rail,FCEV,0.0124814
1107,2065,Australia_NZ,road,BEV,0.232445716
1108,2065,Australia_NZ,road,FCEV,0.14744736000000003
1112,2065,Australia_NZ,shipping,BEV,0.0028778271
1113,2065,Australia_NZ,shipping,FCEV,0.002384244
1116,2065,Canada,aviation,BEV,0.0345316291
1119,2065,Canada,rail,BEV,0.0189302
1120,2065,Canada,rail,Electric,0.005840410000000001
1121,2065,Canada,rail,FCEV,0.0246759
1124,2065,Canada,road,BEV,0.2693041639
1125,2065,Canada,road,FCEV,0.1487581423
1129,2065,Canada,shipping,BEV,0.0034400972
1130,2065,Canada,shipping,FCEV,0.002499417
1133,2065,EU-15,aviation,BEV,0.16760343200000002
1136,2065,EU-15,rail,BEV,0.0150986
1137,2065,EU-15,rail,Electric,0.2195198
1138,2065,EU-15,rail,FCEV,0.0251488
1141,2065,EU-15,road,BEV,1.05195258391
1142,2065,EU-15,road,FCEV,0.7074889221223001
1146,2065,EU-15,shipping,BEV,0.012933650000000001
1147,2065,EU-15,shipping,FCEV,0.043766139999999995
1150,2065,European Free Trade Association,aviation,BEV,0.010787459599999999
1153,2065,European Free Trade Association,rail,BEV,0.00116173
1154,2065,European Free Trade Association,rail,Electric,0.01832215
1155,2065,European Free Trade Association,rail,FCEV,0.00192693
1158,2065,European Free Trade Association,road,BEV,0.0404234562
1159,2065,European Free Trade Association,road,FCEV,0.0269538141
1163,2065,European Free Trade Association,shipping,BEV,0.0031354150000000003
1164,2065,European Free Trade Association,shipping,FCEV,0.00203717
1167,2065,Russia,aviation,BEV,0.082223007
1170,2065,Russia,rail,BEV,0.0888625
1171,2065,Russia,rail,Electric,0.22581611
1172,2065,Russia,rail,FCEV,0.103987
1175,2065,Russia,road,BEV,0.367583664
1176,2065,Russia,road,FCEV,0.14761412100000001
1180,2065,Russia,shipping,BEV,0.00351399
1181,2065,Russia,shipping,FCEV,0.02705007
1184,2065,South Korea,aviation,BEV,0.0318894591
1187,2065,South Korea,rail,BEV,0.000938643
1188,2065,South Korea,rail,Electric,0.00722427
1189,2065,South Korea,rail,FCEV,0.00162543
1192,2065,South Korea,road,BEV,0.119780756
1193,2065,South Korea,road,FCEV,0.047149831
1197,2065,South Korea,shipping,BEV,0.001139155
1198,2065,South Korea,shipping,FCEV,0.007045138
1201,2065,USA,aviation,BEV,0.423654666
1204,2065,USA,rail,BEV,0.0874136
1205,2065,USA,rail,Electric,0.0776148
1206,2065,USA,rail,FCEV,0.110848
1209,2065,USA,road,BEV,2.5740336999999998
1210,2065,USA,road,FCEV,1.2050790299999998
1214,2065,USA,shipping,BEV,0.020208629999999998
1215,2065,USA,shipping,FCEV,0.0412807
1218,2070,Australia_NZ,aviation,BEV,0.037831857
1221,2070,Australia_NZ,rail,BEV,0.0099655
1222,2070,Australia_NZ,rail,Electric,0.028975175
1223,2070,Australia_NZ,rail,FCEV,0.0132788
1226,2070,Australia_NZ,road,BEV,0.241812479
1227,2070,Australia_NZ,road,FCEV,0.156336619
1231,2070,Australia_NZ,shipping,BEV,0.0032754116
1232,2070,Australia_NZ,shipping,FCEV,0.00282313
1235,2070,Canada,aviation,BEV,0.0463368525
1238,2070,Canada,rail,BEV,0.0200953
1239,2070,Canada,rail,Electric,0.0060304
1240,2070,Canada,rail,FCEV,0.0262367
1243,2070,Canada,road,BEV,0.2773450127
1244,2070,Canada,road,FCEV,0.15676256989999998
1248,2070,Canada,shipping,BEV,0.0040194278
1249,2070,Canada,shipping,FCEV,0.003040281
1252,2070,EU-15,aviation,BEV,0.22061905199999998
1255,2070,EU-15,rail,BEV,0.0158906
1256,2070,EU-15,rail,Electric,0.22330640000000002
1257,2070,EU-15,rail,FCEV,0.0264557
1260,2070,EU-15,road,BEV,1.062726704938
1261,2070,EU-15,road,FCEV,0.7286904906537
1265,2070,EU-15,shipping,BEV,0.01456551
1266,2070,EU-15,shipping,FCEV,0.04767654
1269,2070,European Free Trade Association,aviation,BEV,0.0140788578
1272,2070,European Free Trade Association,rail,BEV,0.00123053
1273,2070,European Free Trade Association,rail,Electric,0.01865591
1274,2070,European Free Trade Association,rail,FCEV,0.00203784
1277,2070,European Free Trade Association,road,BEV,0.0409852797
1278,2070,European Free Trade Association,road,FCEV,0.027797556199999997
1282,2070,European Free Trade Association,shipping,BEV,0.0035239925100000002
1283,2070,European Free Trade Association,shipping,FCEV,0.0021751379999999996
1286,2070,Russia,aviation,BEV,0.103253768
1289,2070,Russia,rail,BEV,0.0923528
1290,2070,Russia,rail,Electric,0.23004008
1291,2070,Russia,rail,FCEV,0.107786
1294,2070,Russia,road,BEV,0.373453107
1295,2070,Russia,road,FCEV,0.151781102
1299,2070,Russia,shipping,BEV,0.00362146
1300,2070,Russia,shipping,FCEV,0.02708308
1303,2070,South Korea,aviation,BEV,0.039539401300000006
1306,2070,South Korea,rail,BEV,0.000960172
1307,2070,South Korea,rail,Electric,0.00697626
1308,2070,South Korea,rail,FCEV,0.00166317
1311,2070,South Korea,road,BEV,0.115951527
1312,2070,South Korea,road,FCEV,0.046465166
1316,2070,South Korea,shipping,BEV,0.001227142
1317,2070,South Korea,shipping,FCEV,0.0075403399999999995
1320,2070,USA,aviation,BEV,0.5435939660000001
1323,2070,USA,rail,BEV,0.0904531
1324,2070,USA,rail,Electric,0.0832784
1325,2070,USA,rail,FCEV,0.114938
1328,2070,USA,road,BEV,2.6144638000000002
1329,2070,USA,road,FCEV,1.25536944
1333,2070,USA,shipping,BEV,0.021585299999999998
1334,2070,USA,shipping,FCEV,0.0447588
1337,2075,Australia_NZ,aviation,BEV,0.045108303
1340,2075,Australia_NZ,rail,BEV,0.0105331
1341,2075,Australia_NZ,rail,Electric,0.029628089000000003
1342,2075,Australia_NZ,rail,FCEV,0.0140561
1345,2075,Australia_NZ,road,BEV,0.250475001
1346,2075,Australia_NZ,road,FCEV,0.16429439899999998
1350,2075,Australia_NZ,shipping,BEV,0.0036162735000000003
1351,2075,Australia_NZ,shipping,FCEV,0.00326483
