,Year,region,mode,technology,value
598,2055,Africa_Western,rail,BEV,0.00269136
599,2055,Africa_Western,rail,Electric,0.0004492131
600,2055,Africa_Western,rail,FCEV,0.00354648
603,2055,Africa_Western,road,BEV,0.665494384
604,2055,Africa_Western,road,FCEV,0.23277788089999998
607,2055,Africa_Western,shipping,BEV,0.001292376
608,2055,Africa_Western,shipping,FCEV,0.002627422
611,2055,Brazil,aviation,BEV,0.010891452
614,2055,Brazil,rail,BEV,0.00711742
615,2055,Brazil,rail,Electric,0.01991367
616,2055,Brazil,rail,FCEV,0.0105752
619,2055,Brazil,road,BEV,0.5393838959999999
620,2055,Brazil,road,FCEV,0.179009243
624,2055,Brazil,shipping,BEV,0.001757876
625,2055,Brazil,shipping,FCEV,0.0034246610000000003
628,2055,China,aviation,BEV,0.178667984
631,2055,China,rail,BEV,0.26842
632,2055,China,rail,Electric,0.271938
633,2055,China,rail,FCEV,0.354585
636,2055,China,road,BEV,0.8582835788
637,2055,China,road,FCEV,0.38906045199999995
641,2055,China,shipping,BEV,0.06475681
642,2055,China,shipping,FCEV,0.0580928
645,2055,India,aviation,BEV,0.0551103737
648,2055,India,rail,BEV,0.0384314
649,2055,India,rail,Electric,0.10503236999999999
650,2055,India,rail,FCEV,0.0572178
653,2055,India,road,BEV,1.257056034
654,2055,India,road,FCEV,0.4058592213000001
658,2055,India,shipping,BEV,0.001689224
659,2055,India,shipping,FCEV,0.00568159
662,2055,South Asia,aviation,BEV,0.0015578332
665,2055,South Asia,rail,BEV,0.00163371
666,2055,South Asia,rail,Electric,0.0017646971
667,2055,South Asia,rail,FCEV,0.00156734
670,2055,South Asia,road,BEV,0.2716930722
671,2055,South Asia,road,FCEV,0.09700353182999999
675,2055,South Asia,shipping,BEV,0.00103693686
676,2055,South Asia,shipping,FCEV,0.000993563
679,2060,Africa_Western,aviation,BEV,0.0526580329
682,2060,Africa_Western,rail,BEV,0.0032283
683,2060,Africa_Western,rail,Electric,0.0006670571
684,2060,Africa_Western,rail,FCEV,0.00426015
687,2060,Africa_Western,road,BEV,0.823425975
688,2060,Africa_Western,road,FCEV,0.2883307311
691,2060,Africa_Western,shipping,BEV,0.001982088
692,2060,Africa_Western,shipping,FCEV,0.00394069
695,2060,Brazil,aviation,BEV,0.0185356405
698,2060,Brazil,rail,BEV,0.00746484
699,2060,Brazil,rail,Electric,0.021523379999999998
700,2060,Brazil,rail,FCEV,0.0110844
703,2060,Brazil,road,BEV,0.561752944
704,2060,Brazil,road,FCEV,0.19006905500000001
708,2060,Brazil,shipping,BEV,0.002431061
709,2060,Brazil,shipping,FCEV,0.004610889999999999
712,2060,China,aviation,BEV,0.291168481
715,2060,China,rail,BEV,0.2768
716,2060,China,rail,Electric,0.27766660000000004
717,2060,China,rail,FCEV,0.366635
720,2060,China,road,BEV,0.8525924889999998
721,2060,China,road,FCEV,0.396892091
725,2060,China,shipping,BEV,0.08528993
726,2060,China,shipping,FCEV,0.0781951
729,2060,India,aviation,BEV,0.106228691
732,2060,India,rail,BEV,0.0427125
733,2060,India,rail,Electric,0.11118939
734,2060,India,rail,FCEV,0.063451
737,2060,India,road,BEV,1.421635339
738,2060,India,road,FCEV,0.4430426164
742,2060,India,shipping,BEV,0.002429188
743,2060,India,shipping,FCEV,0.00757514
746,2060,South Asia,aviation,BEV,0.0031937455
749,2060,South Asia,rail,BEV,0.001882116
750,2060,South Asia,rail,Electric,0.002543947
751,2060,South Asia,rail,FCEV,0.0018026869999999999
754,2060,South Asia,road,BEV,0.31827951229999996
755,2060,South Asia,road,FCEV,0.1121789928
759,2060,South Asia,shipping,BEV,0.0015145242300000001
760,2060,South Asia,shipping,FCEV,0.001383479
763,2065,Africa_Western,aviation,BEV,0.09759602299999999
766,2065,Africa_Western,rail,BEV,0.00384235
767,2065,Africa_Western,rail,Electric,0.0009826258
768,2065,Africa_Western,rail,FCEV,0.00507982
771,2065,Africa_Western,road,BEV,0.991228287
772,2065,Africa_Western,road,FCEV,0.35106533789999994
775,2065,Africa_Western,shipping,BEV,0.002634844
776,2065,Africa_Western,shipping,FCEV,0.00513681
779,2065,Brazil,aviation,BEV,0.0274505516
782,2065,Brazil,rail,BEV,0.00778555
783,2065,Brazil,rail,Electric,0.0230665
784,2065,Brazil,rail,FCEV,0.0115572
787,2065,Brazil,road,BEV,0.57842638
788,2065,Brazil,road,FCEV,0.19714951
792,2065,Brazil,shipping,BEV,0.002837381
793,2065,Brazil,shipping,FCEV,0.00526858
796,2065,China,aviation,BEV,0.417798868
799,2065,China,rail,BEV,0.283398
800,2065,China,rail,Electric,0.2819553
801,2065,China,rail,FCEV,0.373072
804,2065,China,road,BEV,0.83532933
805,2065,China,road,FCEV,0.39541141399999996
809,2065,China,shipping,BEV,0.09760907
810,2065,China,shipping,FCEV,0.0844717
813,2065,India,aviation,BEV,0.179252262
816,2065,India,rail,BEV,0.0470668
817,2065,India,rail,Electric,0.11698499000000001
818,2065,India,rail,FCEV,0.0697285
821,2065,India,road,BEV,1.5669491800000002
822,2065,India,road,FCEV,0.4751896262
826,2065,India,shipping,BEV,0.003012861
827,2065,India,shipping,FCEV,0.00858847
830,2065,South Asia,aviation,BEV,0.0057247941
833,2065,South Asia,rail,BEV,0.0021495760000000003
834,2065,South Asia,rail,Electric,0.0036019775000000003
835,2065,South Asia,rail,FCEV,0.002055336
838,2065,South Asia,road,BEV,0.366344805
839,2065,South Asia,road,FCEV,0.12801070569999998
843,2065,South Asia,shipping,BEV,0.00187478287
844,2065,South Asia,shipping,FCEV,0.001626208
847,2070,Africa_Western,aviation,BEV,0.16048494800000002
850,2070,Africa_Western,rail,BEV,0.004547
851,2070,Africa_Western,rail,Electric,0.0014296013
852,2070,Africa_Western,rail,FCEV,0.00602787
855,2070,Africa_Western,road,BEV,1.1752857529999998
856,2070,Africa_Western,road,FCEV,0.4246854490000001
859,2070,Africa_Western,shipping,BEV,0.003407224
860,2070,Africa_Western,shipping,FCEV,0.00656752
863,2070,Brazil,aviation,BEV,0.035939911000000005
866,2070,Brazil,rail,BEV,0.00808972
867,2070,Brazil,rail,Electric,0.02458508
868,2070,Brazil,rail,FCEV,0.0120012
871,2070,Brazil,road,BEV,0.5915907
872,2070,Brazil,road,FCEV,0.20148604
876,2070,Brazil,shipping,BEV,0.003094675
877,2070,Brazil,shipping,FCEV,0.0055483600000000004
880,2070,China,aviation,BEV,0.534140037
883,2070,China,rail,BEV,0.289128
884,2070,China,rail,Electric,0.2855915
885,2070,China,rail,FCEV,0.379364
888,2070,China,road,BEV,0.8155174200000002
889,2070,China,road,FCEV,0.388692627
893,2070,China,shipping,BEV,0.10565092999999999
894,2070,China,shipping,FCEV,0.0882776
897,2070,India,aviation,BEV,0.269383869
900,2070,India,rail,BEV,0.0516206
901,2070,India,rail,Electric,0.1228815
902,2070,India,rail,FCEV,0.0763897
905,2070,India,road,BEV,1.7175008299999999
906,2070,India,road,FCEV,0.5123596460000001
910,2070,India,shipping,BEV,0.00366877
911,2070,India,shipping,FCEV,0.00990343
914,2070,South Asia,aviation,BEV,0.0091087451
917,2070,South Asia,rail,BEV,0.002443058
918,2070,South Asia,rail,Electric,0.005040042799999999
919,2070,South Asia,rail,FCEV,0.0023339
922,2070,South Asia,road,BEV,0.41932260200000004
923,2070,South Asia,road,FCEV,0.1451262658
927,2070,South Asia,shipping,BEV,0.0021941237
928,2070,South Asia,shipping,FCEV,0.001804941
931,2075,Africa_Western,aviation,BEV,0.23491486199999997
934,2075,Africa_Western,rail,BEV,0.00532634
935,2075,Africa_Western,rail,Electric,0.0020375652
936,2075,Africa_Western,rail,FCEV,0.00707802
939,2075,Africa_Western,road,BEV,1.3778734400000001
940,2075,Africa_Western,road,FCEV,0.5107382410000001
943,2075,Africa_Western,shipping,BEV,0.004321538000000001
944,2075,Africa_Western,shipping,FCEV,0.008232759999999999
947,2075,Brazil,aviation,BEV,0.042746526
950,2075,Brazil,rail,BEV,0.00838882
951,2075,Brazil,rail,Electric,0.02608552
952,2075,Brazil,rail,FCEV,0.0124403
955,2075,Brazil,road,BEV,0.60384994
956,2075,Brazil,road,FCEV,0.20462001000000002
960,2075,Brazil,shipping,BEV,0.003306133
961,2075,Brazil,shipping,FCEV,0.005763539999999999
964,2075,China,aviation,BEV,0.61654644
967,2075,China,rail,BEV,0.292959
968,2075,China,rail,Electric,0.28765199999999996
969,2075,China,rail,FCEV,0.383682
972,2075,China,road,BEV,0.7948075499999999
973,2075,China,road,FCEV,0.380168578
977,2075,China,shipping,BEV,0.11093569
978,2075,China,shipping,FCEV,0.0906554
981,2075,India,aviation,BEV,0.36396494599999996
984,2075,India,rail,BEV,0.0562022
985,2075,India,rail,Electric,0.1284044
986,2075,India,rail,FCEV,0.083226
989,2075,India,road,BEV,1.89117397
990,2075,India,road,FCEV,0.5609481270000001
994,2075,India,shipping,BEV,0.0044344
995,2075,India,shipping,FCEV,0.01181388
998,2075,South Asia,aviation,BEV,0.013095316000000001
1001,2075,South Asia,rail,BEV,0.00276041
1002,2075,South Asia,rail,Electric,0.0069115826000000005
1003,2075,South Asia,rail,FCEV,0.002635231
1006,2075,South Asia,road,BEV,0.477780913
1007,2075,South Asia,road,FCEV,0.1640403279
1011,2075,South Asia,shipping,BEV,0.0025478318000000002
1012,2075,South Asia,shipping,FCEV,0.002012123
1015,2080,Africa_Western,aviation,BEV,0.314652468
1018,2080,Africa_Western,rail,BEV,0.00616573
1019,2080,Africa_Western,rail,Electric,0.0028380928000000002
1020,2080,Africa_Western,rail,FCEV,0.00820163
1023,2080,Africa_Western,road,BEV,1.59247635
1024,2080,Africa_Western,road,FCEV,0.606699072
1027,2080,Africa_Western,shipping,BEV,0.005236768
1028,2080,Africa_Western,shipping,FCEV,0.009715000000000001
1031,2080,Brazil,aviation,BEV,0.047490577
1034,2080,Brazil,rail,BEV,0.0086563
1035,2080,Brazil,rail,Electric,0.0274922
1036,2080,Brazil,rail,FCEV,0.0128315
1039,2080,Brazil,road,BEV,0.61348683
1040,2080,Brazil,road,FCEV,0.20683819
1044,2080,Brazil,shipping,BEV,0.003418182
1045,2080,Brazil,shipping,FCEV,0.00578067
1048,2080,China,aviation,BEV,0.638384837
1051,2080,China,rail,BEV,0.291959
1052,2080,China,rail,Electric,0.286609
1053,2080,China,rail,FCEV,0.383035
1056,2080,China,road,BEV,0.76678853
1057,2080,China,road,FCEV,0.37007715799999996
1061,2080,China,shipping,BEV,0.10382751
1062,2080,China,shipping,FCEV,0.0858014
1065,2080,India,aviation,BEV,0.44815826000000003
1068,2080,India,rail,BEV,0.0604873
1069,2080,India,rail,Electric,0.1331269
1070,2080,India,rail,FCEV,0.0896337
1073,2080,India,road,BEV,2.06243392
1074,2080,India,road,FCEV,0.614239933
1078,2080,India,shipping,BEV,0.004952767
1079,2080,India,shipping,FCEV,0.01304065
1082,2080,South Asia,aviation,BEV,0.017334908
1085,2080,South Asia,rail,BEV,0.00308837
